parse_timestamp,event_name,event_time,odds_1,odds_x,odds_2,odds_1x,odds_12,odds_x2,fora_1,fora_2,total_value,total_over,total_under,match_result
07.10.2025 23:47:03,Флорида — Чикаго,08.10.2025 00:00,WIN 1.60,LOSS 4.80,LOSS 4.80,1.18,1.18,2.35,1.90,1.90,5.5,LOSS 1.85,WIN 1.95,3:2
07.10.2025 23:47:03,Рейнджерс — Питтсбург,08.10.2025 03:00,LOSS 1.75,LOSS 4.80,WIN 4.00,1.25,1.18,2.10,1.88,1.92,5.5,LOSS 1.70,WIN 2.13,0:3
07.10.2025 23:47:03,Лос-Анджелес — Колорадо,08.10.2025 05:30,LOSS 2.55,LOSS 4.30,WIN 2.45,1.55,1.22,1.50,1.95,1.87,5.5,LOSS 1.77,WIN 2.05,1:4
07.10.2025 23:47:03,Торонто — Монреаль,09.10.2025 02:00,WIN 1.95,LOSS 4.40,LOSS 3.20,1.35,1.20,1.85,2.15,1.70,5.5,WIN 1.73,LOSS 2.10,5:2
07.10.2025 23:47:03,Вашингтон — Бостон,09.10.2025 02:30,LOSS 1.90,LOSS 4.30,WIN 3.35,1.33,1.22,1.90,2.15,1.70,5.5,LOSS 1.88,WIN 1.92,1:3
07.10.2025 23:47:03,Вегас — Лос-Анджелес (Лос-Анджелес),09.10.2025 05:00,LOSS 1.80,WIN 4.60,LOSS 3.60,1.30,1.20,2.00,1.97,1.83,5.5,WIN 1.75,LOSS 2.10,6:6
07.10.2025 23:47:03,Эдмонтон — Калгари (Калгари),09.10.2025 05:00,LOSS 1.78,WIN 4.60,LOSS 3.70,1.28,1.20,2.05,1.95,1.85,5.5,WIN 1.70,LOSS 2.15,4:4
07.10.2025 23:47:03,Флорида — Филадельфия,10.10.2025 02:00,WIN 1.87,LOSS 4.40,LOSS 3.45,1.30,1.20,1.93,2.08,1.75,5.5,LOSS 1.85,WIN 1.95,2:1
07.10.2025 23:47:03,Бостон — Чикаго (Бостон),10.10.2025 02:00,LOSS 2.00,WIN 4.30,LOSS 3.10,1.37,1.22,1.80,2.25,1.63,5.5,WIN 1.85,LOSS 1.95,3:3
07.10.2025 23:47:03,Детройт — Монреаль,10.10.2025 02:00,LOSS 2.20,LOSS 4.30,WIN 2.70,1.47,1.22,1.67,1.73,2.10,5.5,WIN 1.70,LOSS 2.15,1:5
